sender,receiver,cargo_name,no_wagons,mdn_speed,lat_sender,lon_sender,lat_receiver,lon_receiver
станція ЗАПОРІЖЖЯ I,станція САРТАНА,ОКАТЫШИ ЖЕЛЕЗОРУДНЫЕ,1326,108,47.7952285,35.1875062,47.1536589,37.5740898
станція ЗАПОРІЖЖЯ II,станція МАРІУПОЛЬ-СОРТУВАЛЬНИЙ,ОКАТЫШИ ЖЕЛЕЗОРУДНЫЕ,224,106,47.82201,35.184535,47.20838,37.5633199
станція ЗАПОРІЖЖЯ II,станція САРТАНА,АГЛОМЕРАТ ЖЕЛЕЗОРУДНЫЙ,267,107,47.82201,35.184535,47.1536589,37.5740898
станція ЗОЛОТНИШИНЕ,станція БАТЬОВО (ЕКСП. МАВ),ОКАТЫШИ ЖЕЛЕЗОРУДНЫЕ,9908,301,49.018889,33.644722,48.3616037,22.3862198
станція ЗОЛОТНИШИНЕ,станція ІЗМАЇЛ  (ЕКСП.),ОКАТЫШИ ЖЕЛЕЗОРУДНЫЕ,6681,273,49.018889,33.644722,45.3600096,28.812532
станція ЗОЛОТНИШИНЕ,станція УЖГОРОД (ЕКСП. ЖСР),ОКАТЫШИ ЖЕЛЕЗОРУДНЫЕ,4713,249,49.018889,33.644722,48.6094982,22.3006874
станція ЗОЛОТНИШИНЕ,станція ЧОП (ЕКСП. ЖСР),ОКАТЫШИ ЖЕЛЕЗОРУДНЫЕ,4675,304,49.018889,33.644722,48.432477,22.2055633
станція ЗОЛОТНИШИНЕ,станція ЧОП (ЕКСП. ОББ),ОКАТЫШИ ЖЕЛЕЗОРУДНЫЕ,1404,303,49.018889,33.644722,48.432477,22.2055633
станція ЗОЛОТНИШИНЕ,станція ЧОП (ЕКСП. ЧД),ОКАТЫШИ ЖЕЛЕЗОРУДНЫЕ,4892,304,49.018889,33.644722,48.432477,22.2055633
станція ІНГУЛЕЦЬ,станція АСЛАНОВЕ,КОНЦЕНТРАТ ЖЕЛЕЗОРУДНЫЙ (ГЕМАТИТ),2812,307,47.679167,33.142778,47.245581,37.581294
станція ІНГУЛЕЦЬ,станція ІЗОВ (ЕКСП. ПКП),КОНЦЕНТРАТ ЖЕЛЕЗОРУДНЫЙ (ГЕМАТИТ),593,356,47.679167,33.142778,50.828474,24.059367
станція ІНГУЛЕЦЬ,станція МАРІУПОЛЬ-СОРТУВАЛЬНИЙ,КОНЦЕНТРАТ ЖЕЛЕЗОРУДНЫЙ (ГЕМАТИТ),7274,309,47.679167,33.142778,47.20838,37.5633199
станція ІНГУЛЕЦЬ,станція МОСТИСЬКА II (ЕКСП. ЧД),КОНЦЕНТРАТ ЖЕЛЕЗОРУДНЫЙ (ГЕМАТИТ),419,372,47.679167,33.142778,49.8166178,23.0325224
