sender,receiver,no_wagons,lat_sender,lon_sender,lat_receiver,lon_receiver,gzk_cluster,dnb_cluster,port_cluster,quarry
станція КАЙДАЦЬКА,станція ОДЕСА-ПОРТ  (ЕКСП.),7948,48.481699,34.986165,46.485545,30.748833,no,no,yes,no
станція КАМ’ЯНСЬКЕ,станція РЯДОВА,20874,48.4974778,34.6042228,48.229267,33.534595,yes,no,no,no
станція КИЇВ-ВОЛИНСЬКИЙ,станція ДАРНИЦЯ,9187,50.4121955,30.4301124,50.430674,30.643448,no,no,no,no
станція КИЇВ-ДЕМІЇВСЬКИЙ,станція ДАРНИЦЯ,18778,50.4047454,30.5370509,50.430674,30.643448,no,no,no,no
станція КІНДРАТІВКА,станція ІНДУСТРІАЛЬНА,7913,48.578751,37.616899,49.962852,36.391769,no,yes,no,no
станція КЛЕСІВ,станція КЛЕСІВ,7767,51.3118938,26.8919075,51.3118938,26.8919075,no,no,no,yes
станція КЛЕСІВ,станція РЯСНА II,17526,51.3118938,26.8919075,49.8636374,23.9381062,no,no,no,yes
станція КОВЕЛЬ,станція ІЗОВ (ЕКСП. ПКП),8482,51.2213885,24.7123421,50.828474,24.059367,no,no,no,no
станція КОСТЯНТИНІВКА,станція ЖОВТНЕВА  (ЕКСП.),7111,48.5119856,37.7296144,46.834899,31.967136,no,yes,yes,no
станція КРЕМЕНЧУК,станція ІНДУСТРІАЛЬНА,7330,49.0678972,33.4277227,49.962852,36.391769,no,no,no,no
станція КРЕМЕНЧУК,станція ХАРКІВ-БАЛАШОВСЬКИЙ,9240,49.0678972,33.4277227,49.9740613,36.2767679,no,no,no,no
станція КРЕМЕНЧУК,станція ХАРКІВ-СОРТУВАЛЬНИЙ,11291,49.0678972,33.4277227,50.030735,36.177962,no,no,no,no
станція КРИВИЙ РІГ,станція БЕРЕГОВА  (ЕКСП.),159707,47.880874,33.384342,46.632276,31.044189,yes,no,yes,no
станція КРИВИЙ РІГ,станція ЄНАКІЄВЕ,7167,47.880874,33.384342,48.2259,38.203245,yes,yes,no,no
станція КРИВИЙ РІГ,станція ЗАПОРІЖЖЯ-ЛІВЕ,8142,47.880874,33.384342,47.86944,35.1917334,yes,no,no,no
станція КРИВИЙ РІГ,станція ІЗОВ (ЕКСП. ПКП),29590,47.880874,33.384342,50.828474,24.059367,yes,no,no,no
станція КРИВИЙ РІГ,станція КРИВИЙ РІГ,7204,47.880874,33.384342,47.880874,33.384342,yes,no,no,no
станція КРИВИЙ РІГ,станція МИКОЛАЇВ-ВАНТАЖНИЙ  (ЕКСП.),40411,47.880874,33.384342,46.9575,31.975556,yes,no,yes,no
станція КРИВИЙ РІГ,станція ОДЕСА-ПОРТ  (ЕКСП.),31657,47.880874,33.384342,46.485545,30.748833,yes,no,yes,no
станція КРИВИЙ РІГ,станція САРТАНА,11161,47.880874,33.384342,47.1536589,37.5740898,yes,no,no,no
станція КРИВИЙ РІГ,станція ЧОП (ЕКСП. ЧД),22102,47.880874,33.384342,48.432477,22.2055633,yes,no,no,no
станція КРИВИЙ РІГ,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),59808,47.880874,33.384342,46.82775,30.76,yes,no,yes,no
станція КРИВИЙ РІГ-ГОЛОВНИЙ,станція ІЗОВ (ЕКСП. ПКП),8990,47.9123,33.451545,50.828474,24.059367,yes,no,no,no
станція КРИВИЙ ТОРЕЦЬ,станція ПОКРОВСЬК,7725,48.409766,37.78366,48.285102,37.1816185,no,yes,no,no
станція КУРДЮМІВКА,станція ЖОВТНЕВА  (ЕКСП.),16052,48.463619,37.959608,46.834899,31.967136,no,yes,yes,no
станція ЛИМАН,станція СІЛЬ,8161,48.9644789,37.8275288,48.7154131,38.0339345,no,yes,no,no
станція МАКІЇВКА,станція НОВИЙ СВІТ,7242,48.007681,37.9815461,47.803492,38.0067229,no,yes,no,no
станція МАРГАНЕЦЬ,станція НІКОПОЛЬ,8958,47.6544363,34.6198112,47.5853703,34.3913662,no,no,no,no
станція МАРІУПОЛЬ-ПОРТ,станція ПІВДЕННОДОНБАСЬКА,15270,47.062231,37.50663,47.751667,37.509722,no,yes,no,no
станція МАРІУПОЛЬ-ПОРТ,станція САРТАНА,14406,47.062231,37.50663,47.1536589,37.5740898,no,no,no,no
станція МАРІУПОЛЬ-СОРТУВАЛЬНИЙ,станція ВЕЛИКО-АНАДОЛЬ,15568,47.20838,37.5633199,47.698172,37.486528,no,yes,no,no
станція МАРІУПОЛЬ-СОРТУВАЛЬНИЙ,станція КРИВИЙ РІГ,7393,47.20838,37.5633199,47.880874,33.384342,yes,no,no,no
станція МАРІУПОЛЬ-СОРТУВАЛЬНИЙ,станція МАРІУПОЛЬ-ПОРТ  (ЕКСП.),7105,47.20838,37.5633199,47.062231,37.50663,no,no,no,no
станція МАРІУПОЛЬ-СОРТУВАЛЬНИЙ,станція ПІВДЕННОДОНБАСЬКА,15906,47.20838,37.5633199,47.751667,37.509722,no,yes,no,no
станція МАРІУПОЛЬ-СОРТУВАЛЬНИЙ,станція РЯДОВА,37538,47.20838,37.5633199,48.229267,33.534595,yes,no,no,no
станція МЕРЦАЛОВЕ,станція ЖОВТНЕВА  (ЕКСП.),37054,48.422879,37.221904,46.834899,31.967136,no,yes,yes,no
станція МЕРЦАЛОВЕ,станція ОДЕСА-ПОРТ  (ЕКСП.),10458,48.422879,37.221904,46.485545,30.748833,no,yes,yes,no
станція МИКОЛАЇВ-ВАНТАЖНИЙ,станція КРИВИЙ РІГ-ГОЛОВНИЙ,29502,46.9576791,31.9758924,47.9123,33.451545,yes,no,yes,no
станція МИКОЛАЇВ-ВАНТАЖНИЙ,станція ПРИЛУКИ,7752,46.9576791,31.9758924,50.5820914,32.3843273,no,no,yes,no
станція МИКОЛАЇВ-ВАНТАЖНИЙ,станція СВАТОВЕ,11446,46.9576791,31.9758924,49.40891,38.1644926,no,no,yes,no
станція МИКОЛАЇВКА-ДОНЕЦЬКА,станція ДОБРОПІЛЛЯ,20835,48.37885,36.3491541,48.4481566,37.0757679,no,yes,no,no
станція МИКОЛАЇВКА-ДОНЕЦЬКА,станція РОЯ,24651,48.37885,36.3491541,47.989332,37.306483,no,yes,no,no
станція МОСТИСЬКА II (ЕКСП. ПКП),станція КРИВИЙ РІГ,12390,49.8166178,23.0325224,47.880874,33.384342,yes,no,no,no
станція МОСТИСЬКА II (ЕКСП. ПКП),станція МОСТИСЬКА II,21954,49.8166178,23.0325224,49.8166178,23.0325224,no,no,no,no
станція МУДРЬОНА,станція МАРІУПОЛЬ-СОРТУВАЛЬНИЙ,9321,47.914665,33.4025031,47.20838,37.5633199,yes,no,no,no
станція НАДВІРНА,станція КАГАМЛИЦЬКА,8403,48.6242545,24.5847443,49.140833,33.461667,no,no,no,no
станція НИЖНЬОКРИНКА,станція ЕЛЕКТРИЧНА,8614,48.129516,38.208348,48.867694,37.755615,no,yes,no,no
станція НИЖНЬОКРИНКА,станція ТРИПІЛЛЯ-ДНІПРОВСЬКЕ,16415,48.129516,38.208348,50.1397982,30.7534098,no,yes,no,no
станція НИЗИ,станція МИКОЛАЇВ-ВАНТАЖНИЙ  (ЕКСП.),7314,50.774178,34.7648369,46.9575,31.975556,no,no,yes,no
станція НІКЕЛЬ-ПОБУЗЬКИЙ,станція БОЛЕСЛАВЧИК,24994,48.173252,30.615134,48.112439,30.784414,no,no,no,no
станція НІКЕЛЬ-ПОБУЗЬКИЙ,станція НОВОУКРАЇНКА,11376,48.173252,30.615134,48.3321208,31.5167007,no,no,no,no
станція НІКЕЛЬ-ПОБУЗЬКИЙ,станція ПОМІЧНА,9754,48.173252,30.615134,48.2412797,31.4081962,no,no,no,no
станція НІКОПОЛЬ,станція НІКОПОЛЬ,24297,47.5853703,34.3913662,47.5853703,34.3913662,no,no,no,no
станція НІКОПОЛЬ,станція ОДЕСА-ПОРТ  (ЕКСП.),9407,47.5853703,34.3913662,46.485545,30.748833,no,no,yes,no
станція НІКОПОЛЬ,станція ПОРОМНА-ЕКСПОРТ (РИБНИЙ ПОРТ),21081,47.5853703,34.3913662,46.39689,30.656375,no,no,yes,no
станція НОВА БОРОВА,станція ОДЕСА-ПОРТ  (ЕКСП.),7452,50.6911995,28.6244005,46.485545,30.748833,no,no,yes,no
станція НОВИЙ СВІТ,станція МАКІЇВКА,10787,47.803492,38.0067229,48.007681,37.9815461,no,yes,no,no
станція НОВОУКРАЇНКА,станція ОДЕСА-ЗАСТАВА I,11528,48.3321208,31.5167007,46.4776308,30.6545697,no,no,yes,no
станція НОВОУКРАЇНКА,станція ОДЕСА-ЛІСКИ,16565,48.3321208,31.5167007,46.522819,30.60268,no,no,yes,no
станція ОДЕСА-ЗАСТАВА I,станція НОВОУКРАЇНКА,7434,46.4776308,30.6545697,48.3321208,31.5167007,no,no,yes,no
станція ОДЕСА-ЗАСТАВА I,станція ОЛЕКСАНДРІВКА,8196,46.4776308,30.6545697,47.641152,31.300802,no,no,yes,no
станція ОДЕСА-ЗАСТАВА I,станція ЧОРНОМОРСЬК-ПОРТ,14445,46.4776308,30.6545697,46.32227,30.62932,no,no,yes,no
станція ОДЕСА-ЛІСКИ,станція НОВОУКРАЇНКА,7606,46.522819,30.60268,48.3321208,31.5167007,no,no,yes,no
станція ОДЕСА-ПЕРЕСИП,станція КАГАМЛИЦЬКА,20584,46.52502,30.726413,49.140833,33.461667,no,no,yes,no
станція ОДЕСА-ПОРТ,станція КРИВИЙ РІГ-ГОЛОВНИЙ,19317,46.485545,30.748833,47.9123,33.451545,yes,no,yes,no
станція ОДЕСА-ПОРТ  (ЕКСП.),станція ДНІПРО-ЛІСКИ,7219,46.485545,30.748833,48.401389,34.991389,no,no,yes,no
станція ОДЕСА-ПОРТ  (ЕКСП.),станція ХАРКІВ-ЛІСКИ,7431,46.485545,30.748833,49.959174,36.238248,no,no,yes,no
станція ОЛЕКСАНДРІВКА,станція ОДЕСА-ЗАСТАВА I,15506,47.641152,31.300802,46.4776308,30.6545697,no,no,yes,no
станція ОЛЕКСАНДРІВКА,станція ОДЕСА-ЛІСКИ,7349,47.641152,31.300802,46.522819,30.60268,no,no,yes,no
станція ОЧЕРЕТИНЕ,станція ЖОВТНЕВА  (ЕКСП.),8711,48.240748,37.6123129,46.834899,31.967136,no,yes,yes,no
станція ПЕЛАГІЇВСЬКИЙ,станція НОВИЙ СВІТ,15325,48.092167,38.594515,47.803492,38.0067229,no,yes,no,no
станція ПЕРЕЇЗНА,станція ПОКРОВСЬК,9293,48.897354,38.4776521,48.285102,37.1816185,no,yes,no,no
станція ПЕТРО КРИВОНІС,станція ДАРНИЦЯ,11205,50.354151,30.544861,50.430674,30.643448,no,no,no,no
станція ПІВДЕННОДОНБАСЬКА,станція НОВОГРОДІВКА,10959,47.751667,37.509722,48.189131,37.334021,no,yes,no,no
станція ПІВДЕННОДОНБАСЬКА,станція ПОКРОВСЬК,28915,47.751667,37.509722,48.285102,37.1816185,no,yes,no,no
станція ПОКРОВСЬК,станція ЛИМАН,8243,48.285102,37.1816185,48.9644789,37.8275288,no,yes,no,no
станція ПОКРОВСЬК,станція ПОКРОВСЬК,16991,48.285102,37.1816185,48.285102,37.1816185,no,yes,no,no
станція ПОКРОВСЬК,станція РОДИНСЬКА,8837,48.285102,37.1816185,48.362572,37.198645,no,yes,no,no
станція ПОКРОВСЬК,станція СВІТЛОДАРСЬКЕ,40175,48.285102,37.1816185,48.460125,38.170116,no,yes,no,no
станція ПОКРОВСЬК,станція ТРИПІЛЛЯ-ДНІПРОВСЬКЕ,8212,48.285102,37.1816185,50.1397982,30.7534098,no,yes,no,no
станція ПОМІЧНА,станція ОДЕСА-ЗАСТАВА I,12182,48.2412797,31.4081962,46.4776308,30.6545697,no,no,yes,no
станція ПОРОМНА,станція НІКОПОЛЬ,12670,46.39689,30.656375,47.5853703,34.3913662,no,no,no,no
станція ПОРОМНА-ЕКСПОРТ (РИБНИЙ ПОРТ),станція НІКОПОЛЬ,15791,46.39689,30.656375,47.5853703,34.3913662,no,no,yes,no
станція ПОЧАЙНА,станція ГРАНІТНИЙ,10397,50.485104,30.500415,50.749028,29.347611,no,no,no,yes
станція ПОЧАЙНА,станція ДАРНИЦЯ,11754,50.485104,30.500415,50.430674,30.643448,no,no,no,no
станція ПРАВДА,станція ПРАВДА,23777,48.517983,34.658394,48.517983,34.658394,no,no,no,no
станція ПРИЛУКИ,станція МИКОЛАЇВ-ВАНТАЖНИЙ  (ЕКСП.),11035,50.5820914,32.3843273,46.9575,31.975556,no,no,yes,no
станція РЕДУТИ,станція ХАРКІВ-ВАНТАЖНИЙ,14582,49.016034,33.56665,49.847,36.2473,no,no,no,yes
станція РОДИНСЬКА,станція ЛИМАН,18223,48.362572,37.198645,48.9644789,37.8275288,no,yes,no,no
станція РОДИНСЬКА,станція ПОКРОВСЬК,9521,48.362572,37.198645,48.285102,37.1816185,no,yes,no,no
станція РОДИНСЬКА,станція СВІТЛОДАРСЬКЕ,25898,48.362572,37.198645,48.460125,38.170116,no,yes,no,no
