sender,receiver,cargo,tot_no_wagons,median_speed_km_day,avrg_money_UAH,avrg_tkm
станція БЕРЕЗАНЬ,станція МИКОЛАЇВ-ВАНТАЖНИЙ  (ЕКСП.),ЗЕРНО КУКУРУЗЫ,384,129,13324.14792,36313.11867
станція БЕРЕЗОВИЦЯ-ОСТРІВ,станція ГУМЕНЦІ,ЗЕРНО КУКУРУЗЫ,228,51,8193.000877,13197.18969
станція БЕРЕЗОВИЦЯ-ОСТРІВ,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,ЗЕРНО КУКУРУЗЫ,224,93,24171.9692,44120.46161
станція БЕРЕЗОВИЦЯ-ОСТРІВ,станція КСЕНІЄВЕ (ЕКСП.),ЗЕРНО КУКУРУЗЫ,426,219.5,14272.54202,42640.51538
станція БАР,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,ЗЕРНО КУКУРУЗЫ,301,83,16308.20332,30013.37209
станція БАР,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,ПШЕНИЦА,202,113,17238.70891,30606.18317
станція БАР,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ЗЕРНО КУКУРУЗЫ,1860,121,17897.47548,31802.71465
станція БАР,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ПШЕНИЦА,987,97,17294.57042,32894.84245
станція БАР,станція КСЕНІЄВЕ (ЕКСП.),ЗЕРНО КУКУРУЗЫ,263,108,12909.60798,28359.07529
станція БАР,станція КСЕНІЄВЕ (ЕКСП.),ПШЕНИЦА,208,108,11361.09519,29890.14231
станція БАРВІНКОВЕ,станція ЖОВТНЕВА  (ЕКСП.),ПШЕНИЦА,387,117,18332.74134,39248.51628
станція БАРВІНКОВЕ,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ПШЕНИЦА,293,138,20745.16655,56373.19795
станція БАРВІНКОВЕ,станція МИКОЛАЇВ-ВАНТАЖНИЙ  (ЕКСП.),ПШЕНИЦА,546,137,15193.9848,39874.53059
станція БАРИШІВКА,станція ОДЕСА-ПОРТ  (ЕКСП.),ЗЕРНО КУКУРУЗЫ,311,106,15699.59936,46312.85
станція БАЛІВКА,станція ЖОВТНЕВА  (ЕКСП.),ЗЕРНО КУКУРУЗЫ,364,103,16302.83049,27690.1228
станція БАЛІВКА,станція ЖОВТНЕВА  (ЕКСП.),ПШЕНИЦА,237,103,15348.57046,27951.82257
станція БАЛІВКА,станція ОДЕСА-ПОРТ  (ЕКСП.),ЗЕРНО КУКУРУЗЫ,726,317,13397.3697,42750.45661
станція БАЛИН,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,ЗЕРНО КУКУРУЗЫ,3663,305,13117.70581,40569.63354
станція БАЛИН,станція ЧОРНОМОРСЬК-ПОРТ-ЕКСПОРТ,ПШЕНИЦА,1124,101,15310.87749,41851.35649
станція БАЛИН,станція ЧОРНОМОРСЬКА ( ЕКСП. ДЛЯ ТІС ),ЗЕРНО КУКУРУЗЫ,454,128,16268.56233,42961.59295
станція БАЛИН,станція КСЕНІЄВЕ (ЕКСП.),ЗЕРНО КУКУРУЗЫ,276,117,19047.1308,39289.54764
станція БАЛОВНЕ,станція МИКОЛАЇВ-ВАНТАЖНИЙ  (ЕКСП.),ПШЕНИЦА,423,17,4362.940898,2368.268794
станція БАЛТА,станція ЧОРНОМОРСЬК-ПОРТ,ЗЕРНО КУКУРУЗЫ,205,62,9707.843902,16819.22693
